package_name,is_known,jar,class,method_name,method_sig,line,register,usage_type,usage_detail,file
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,connect,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int connect(java.lang.String,android.os.IBinder)>",309,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,connectBySim,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int connectBySim(java.lang.String,android.os.IBinder,int)>",395,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,disconnect,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int disconnect(java.lang.String,android.os.IBinder)>",483,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,disconnectBySim,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int disconnectBySim(java.lang.String,android.os.IBinder,int)>",569,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,enableTestRilAdapter,<com.sec.epdg.IEpdgManager$Stub$Proxy: int enableTestRilAdapter(boolean)>,656,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,enableTestRilAdapterBySim,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int enableTestRilAdapterBySim(boolean,int)>",738,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,getCurrentImsPdnStatus,<com.sec.epdg.IEpdgManager$Stub$Proxy: int getCurrentImsPdnStatus()>,821,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,getCurrentImsPdnStatusBySim,<com.sec.epdg.IEpdgManager$Stub$Proxy: int getCurrentImsPdnStatusBySim(int)>,899,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,getInterfaceDescriptor,<com.sec.epdg.IEpdgManager$Stub$Proxy: java.lang.String getInterfaceDescriptor()>,961,v0,unknown,return-object v0,/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,isDuringHandoverForIMS,<com.sec.epdg.IEpdgManager$Stub$Proxy: boolean isDuringHandoverForIMS()>,988,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
